source,url,title,price,period,property_type,bedrooms,bathrooms,toilets,property_address,size_sqm,furnishing,condition,amenities,description
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-port-harcourt-for-rent-iEiEC5fJhovILjIhddsiRLoE.html?page=4&pos=14&cur_pos=14&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=85,2bdrm Block of Flats in Port-Harcourt for rent,2000000.0,per annum,Block of Flats,2.0,3.0,,Jepther East West road,465.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/lekki-phase/houses-apartments-for-rent/2bdrm-townhouse-terrace-in-lekki-phase-1-for-rent-7mI9ISmIHoXw5k60O53m7ht8.html?page=7&pos=23&cur_pos=23&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=433,2bdrm Townhouse / Terrace in Lekki Phase 1 for rent,18000000.0,per annum,Townhouse / Terrace,2.0,2.0,3.0,Lekki phase 1,106.0,Unfurnished,Fairly Used,"Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Wardrobe, Tiled Floor, Wi-Fi",
Jiji,https://jiji.ng/lugbe/houses-apartments-for-rent/studio-apartment-in-planet-homes-lugbe-district-for-rent-v2zVulxbGh72ixm089FURJWT.html?page=1&pos=10&cur_pos=10&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=276,"Studio Apartment in Planet Homes, Lugbe District for rent",1000000.0,per annum,Studio Apartment,1.0,1.0,1.0,Along Voice Of Nigeria Axis,300.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/ph-gra-phase-2/houses-apartments-for-rent/3bdrm-block-of-flats-in-gra-phase-2-port-harcourt-for-rent-aXH5Ze7ZF0YNc1zQHA73a8fn.html?page=3&pos=24&cur_pos=24&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=71,3bdrm Block of Flats in GRA Phase 2 / Port-Harcourt for rent,4000000.0,per annum,Block of Flats,3.0,4.0,,Onne road GRA phase 2,465.0,Unfurnished,Renovated,,
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-block-of-flats-in-port-harcourt-for-rent-iyiuw4F1jv6CzHzSaaI018tQ.html?page=5&pos=20&cur_pos=20&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=115,3bdrm Block of Flats in Port-Harcourt for rent,3500000.0,per annum,Block of Flats,3.0,4.0,,Eliozu,555.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/jabi/houses-apartments-for-rent/furnished-3bdrm-block-of-flats-in-salis-court-estate-for-rent-ptIieZUcdgZ22aBL5fgrZ2P8.html?page=10&pos=7&cur_pos=7&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=489,Furnished 3bdrm Block of Flats in Salis Court Estate for rent,1800000.0,per month,Block of Flats,3.0,3.0,4.0,jabi,2000.0,Furnished,Newly-Built,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Refrigerator, Tiled Floor, TV, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/rumuosi/houses-apartments-for-rent/furnished-2bdrm-block-of-flats-in-rumuosi-for-rent-iW97E3thoF76xwE5l943nnXr.html?page=11&pos=17&cur_pos=17&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=256,Furnished 2bdrm Block of Flats in Rumuosi for rent,2500000.0,,Block of Flats,2.0,2.0,3.0,Rumuosi by salvation,188.0,Furnished,Newly-Built,,
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-duplex-in-rumukurushi-port-harcourt-for-rent-mhvlOx0nLSe1lGdsbFHpyRtP.html?page=5&pos=3&cur_pos=3&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=98,"4bdrm Duplex in Rumukurushi, Port-Harcourt for rent",4000000.0,per annum,Duplex,4.0,5.0,,Rumukurushi New layout,555.0,Unfurnished,Fairly Used,,
Jiji,https://jiji.ng/amadi-ama/houses-apartments-for-rent/furnished-2bdrm-block-of-flats-in-amadi-ama-for-rent-wpQbCukgcoDACxS6qHquGrjB.html?page=11&pos=15&cur_pos=15&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=254,Furnished 2bdrm Block of Flats in Amadi-Ama for rent,3800000.0,per annum,Block of Flats,2.0,2.0,3.0,Off Peter odili red,5000.0,Furnished,Fairly Used,"Air Conditioning, Dining Area, Hot Water, Kitchen Cabinets, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-radio-estate-port-harcourt-for-rent-7ufNUrmQEEQ4ddTNOXHQs0O6.html?page=6&pos=1&cur_pos=1&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=120,"2bdrm Block of Flats in Radio Estate, Port-Harcourt for rent",2500000.0,per annum,Block of Flats,2.0,3.0,,NTA Road,465.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-duplex-in-rumun-port-harcourt-for-rent-swiIEXiThrWQ3nP4vKRUXWp4.html?page=7&pos=3&cur_pos=3&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=146,"4bdrm Duplex in Rumun, Port-Harcourt for rent",4000000.0,per annum,Duplex,4.0,5.0,,Rumunduru farm Road off Eliozu,555.0,Unfurnished,Fairly Used,"Balcony, Chandelier, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Wardrobe",
Jiji,https://jiji.ng/kubwa/houses-apartments-for-rent/1bdrm-house-in-arab-road-kubwa-for-rent-kBpQaocztYNSbNxcv3dYB2sP.html?page=10&pos=22&cur_pos=22&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=504,"1bdrm House in Arab Road, Kubwa for rent",1000000.0,per annum,House,1.0,1.0,1.0,Gwani opposite Nysc Junction by express,100.0,Unfurnished,Renovated,"Pop Ceiling, Pre-Paid Meter",
Jiji,https://jiji.ng/guzape/houses-apartments-for-rent/furnished-4bdrm-townhouse-terrace-in-guzape-for-rent-uSB3QQ8HrkqlkHdEpJwUMjXM.html?page=3&pos=5&cur_pos=5&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=319,Furnished 4bdrm Townhouse / Terrace in Guzape for rent,12000000.0,per annum,Townhouse / Terrace,4.0,5.0,5.0,Guzape,3000.0,Furnished,Newly-Built,"24-hour Electricity, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/ado-ajah/houses-apartments-for-rent/furnished-2bdrm-house-in-seaside-estate-ado-ajah-for-rent-8WdBKQpFoRQ8LM8NKCtKH9qO.html?page=7&pos=15&cur_pos=15&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=425,"Furnished 2bdrm House in Seaside Estate, Ado / Ajah for rent",2500000.0,per annum,House,2.0,3.0,3.0,Badore,600.0,Furnished,Fairly Used,"Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",
Jiji,https://jiji.ng/ibadan/houses-apartments-for-rent/1bdrm-apartment-in-ibadan-for-rent-C8irGlu3scflcyZb7UTEiOYB.html?page=5&pos=24&cur_pos=24&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=386,1bdrm Apartment in Ibadan for rent,500000.0,per annum,Apartment,1.0,1.0,,New bodija estate,1000.0,Unfurnished,Fairly Used,,
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-duplex-in-port-harcourt-for-rent-2WSG2HSJQulVUsX9gVkrPp35.html?page=4&pos=23&cur_pos=23&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=94,4bdrm Duplex in Port-Harcourt for rent,8000000.0,per annum,Duplex,4.0,5.0,,Old GRA,465.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-apartment-in-port-harcourt-for-rent-stAMVItKGe8yho8OwJuha3wY.html?page=8&pos=24&cur_pos=24&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=191,2bdrm Apartment in Port-Harcourt for rent,6500000.0,per annum,Apartment,2.0,2.0,3.0,"New GRA, Port Harcourt",465.0,Unfurnished,Newly-Built,"Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, TV, Wardrobe",
Jiji,https://jiji.ng/asokoro/houses-apartments-for-rent/furnished-studio-apartment-in-asokoro-for-rent-jO3BQtjrdZSTD6N4aZisp6aO.html?page=4&pos=17&cur_pos=17&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=355,Furnished Studio Apartment in Asokoro for rent,6000000.0,per annum,Studio Apartment,1.0,1.0,1.0,Asokoro,200.0,Furnished,Renovated,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-eneka-port-harcourt-for-rent-1b7ndQFe8XRHGIvJJ9zwceHF.html?page=7&pos=7&cur_pos=7&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=150,"2bdrm Block of Flats in Eneka, Port-Harcourt for rent",3000000.0,per annum,Block of Flats,2.0,3.0,,Shell corporative,555.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/banana-island/houses-apartments-for-rent/furnished-3bdrm-apartment-in-banana-island-for-rent-BKofKe9djksaPc6c9t6vLmlJ.html?page=9&pos=24&cur_pos=24&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=482,Furnished 3bdrm Apartment in Banana Island for rent,50000000.0,per annum,Apartment,3.0,3.0,3.0,Banana Island Ikoyi,2000.0,Furnished,Newly-Built,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-block-of-flats-in-ada-george-port-harcourt-for-rent-ilLQCl9MuGwI19G4aj4mYHZI.html?page=8&pos=12&cur_pos=12&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=179,"2bdrm Block of Flats in Ada George, Port-Harcourt for rent",2000000.0,per annum,Block of Flats,2.0,3.0,,Chinda by ada George,456.0,Unfurnished,Fairly Used,,
Jiji,https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-asnDJtIvam4GOSi5tq3rMyGi.html?page=8&pos=19&cur_pos=19&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=453,4bdrm Duplex in Ikota for rent,15000000.0,per annum,Duplex,4.0,4.0,5.0,Ikota GRA,300.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-duplex-in-naf-harmony-estate-port-harcourt-for-rent-bxhgbEyqSbLV0eRUj2jOSLFS.html?page=5&pos=5&cur_pos=5&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=100,"4bdrm Duplex in Naf Harmony Estate, Port-Harcourt for rent",15000000.0,per annum,Duplex,4.0,5.0,,NAF Harmony estate,465.0,Unfurnished,Fairly Used,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Wardrobe",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/4bdrm-bungalow-in-nta-port-harcourt-for-rent-icc68jl8J4Mjjuf0t74Mky3v.html?page=2&pos=12&cur_pos=12&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=35,"4bdrm Bungalow in Nta, Port-Harcourt for rent",4000000.0,per annum,Bungalow,4.0,5.0,,NTA Road,526.0,Unfurnished,Fairly Used,,
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/3bdrm-block-of-flats-in-stadium-road-port-harcourt-for-rent-XFnPW1PzvLaKed10qPVXkvo.html?page=6&pos=13&cur_pos=13&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=132,"3bdrm Block of Flats in Stadium Road, Port-Harcourt for rent",3500000.0,per annum,Block of Flats,3.0,4.0,,Justice mary odili,465.0,Unfurnished,Fairly Used,,
Jiji,https://jiji.ng/shell-location/houses-apartments-for-rent/3bdrm-block-of-flats-in-shell-location-for-rent-pUHhgBnXx95avP2lZfMteXJm.html?page=5&pos=24&cur_pos=24&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=119,3bdrm Block of Flats in Shell Location for rent,3500000.0,per annum,Block of Flats,3.0,4.0,,Ada George,465.0,Unfurnished,Renovated,,
Jiji,https://jiji.ng/ikota/houses-apartments-for-rent/4bdrm-duplex-in-ikota-for-rent-oGv1g8W26uPftNvd6XwNozYh.html?page=3&pos=3&cur_pos=3&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=317,4bdrm Duplex in Ikota for rent,15000000.0,per annum,Duplex,4.0,4.0,5.0,Ikota GRA,300.0,Unfurnished,Newly-Built,,
Jiji,https://jiji.ng/gwarinpa/houses-apartments-for-rent/4bdrm-townhouse-terrace-in-gwarinpa-for-rent-hGOypMuEpFrrAoO3SJDWCpTe.html?page=9&pos=22&cur_pos=22&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=480,4bdrm Townhouse / Terrace in Gwarinpa for rent,6000000.0,per annum,Townhouse / Terrace,4.0,4.0,5.0,Gwarinpa,1000.0,Semi-Furnished,Fairly Used,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe",
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/furnished-2bdrm-block-of-flats-in-port-harcourt-for-rent-AQxrbU0GuMcYAS7uLVPpM2yD.html?page=8&pos=17&cur_pos=17&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=184,Furnished 2bdrm Block of Flats in Port-Harcourt for rent,8000000.0,per annum,Block of Flats,2.0,3.0,,Chinda off ADA George,465.0,Furnished,Renovated,"Air Conditioning, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe",
Jiji,https://jiji.ng/ikeja/houses-apartments-for-rent/5bdrm-duplex-in-adeniyi-jones-ikeja-for-rent-7Y0vV1Sso3c25NF6cfNT746.html?page=8&pos=12&cur_pos=12&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=446,5bdrm Duplex in Adeniyi Jones Ikeja for rent,21000000.0,per annum,Duplex,5.0,5.0,6.0,Adeniyi Jones ikeja,300.0,Semi-Furnished,Newly-Built,"24-hour Electricity, Balcony, Chandelier, Dining Area, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",
Jiji,https://jiji.ng/lugbe/houses-apartments-for-rent/1bdrm-apartment-in-fha-lugbe-for-rent-vYS5Saep4kyHLgSx9jL1RJsV.html?page=1&pos=13&cur_pos=13&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=279,"1bdrm Apartment in Fha, Lugbe for rent",2000000.0,per annum,Apartment,1.0,2.0,2.0,"Around babagida axis, FHA, Lugbe",500.0,Unfurnished,Newly-Built,"Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",
Jiji,https://jiji.ng/victoria-island-extension/houses-apartments-for-rent/3bdrm-townhouse-terrace-in-oniru-estate-victoria-island-extension-u2AcmuLLiZtBsiGHexkVXNVr.html?page=7&pos=13&cur_pos=13&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=423,"3bdrm Townhouse / Terrace in Oniru Estate, Victoria Island Extension",12500000.0,per annum,Townhouse / Terrace,3.0,3.0,4.0,Oniru estate,530.0,Semi-Furnished,Newly-Built,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/jahi/houses-apartments-for-rent/2bdrm-block-of-flats-in-jahi-for-rent-fV5Wpg3JzKl5kVGLawEC6cXB.html?page=6&pos=7&cur_pos=7&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=393,2bdrm Block of Flats in Jahi for rent,60000000.0,per annum,Block of Flats,2.0,2.0,3.0,Jahi,1000.0,Unfurnished,Newly-Built,"Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Pre-Paid Meter, Tiled Floor, Wardrobe",
Jiji,https://jiji.ng/ojo/houses-apartments-for-rent/2bdrm-apartment-in-eleso-estate-ojo-for-rent-aiY8g7zdhJ0BH0PHYdLFtpjF.html?page=7&pos=4&cur_pos=4&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=414,"2bdrm Apartment in Eleso Estate, Ojo for rent",1700000.0,per annum,Apartment,2.0,2.0,1.0,Ijaniki Ojo,800.0,Unfurnished,Newly-Built,"24-hour Electricity, Dining Area, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",
Jiji,https://jiji.ng/life-camp/houses-apartments-for-rent/furnished-4bdrm-apartment-in-godab-life-camp-for-rent-tRKMsHvVcKd8Vz6YBYnGbWTU.html?page=3&pos=18&cur_pos=18&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=332,"Furnished 4bdrm Apartment in Godab, Life Camp for rent",5000000.0,per month,Apartment,4.0,5.0,5.0,Godab estate,500.0,Furnished,Newly-Built,"24-hour Electricity, Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, TV, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/ijesha/houses-apartments-for-rent/4bdrm-duplex-in-ijesha-for-rent-3PG0XLa3j4u5S7VsbcfczxfV.html?page=8&pos=24&cur_pos=24&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=458,4bdrm Duplex in Ijesha for rent,8000000.0,per annum,Duplex,4.0,4.0,5.0,Surulere,320.0,Unfurnished,Renovated,,
Jiji,https://jiji.ng/ikoyi-obalende/houses-apartments-for-rent/5bdrm-duplex-in-boudilon-ikoyi-for-rent-C5zU2oNkbP9aHahqJKiPK7PV.html?page=8&pos=17&cur_pos=17&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=451,5bdrm Duplex in Boudilon Ikoyi for rent,35000000.0,per annum,Duplex,5.0,5.0,6.0,Boudilon,653.0,Semi-Furnished,Newly-Built,"Air Conditioning, Balcony, Chandelier, Dining Area, Dishwasher, Hot Water, Kitchen Cabinets, Kitchen Shelf, Microwave, Pop Ceiling, Pre-Paid Meter, Refrigerator, Tiled Floor, Wardrobe, Wi-Fi",
Jiji,https://jiji.ng/maitama/houses-apartments-for-rent/4bdrm-duplex-in-maitama-for-rent-hRVu4pSvJU6kPcFhAsFURgec.html?page=4&pos=9&cur_pos=9&ads_per_page=24&ads_count=7990&lid=2h616tF1dBw_iu38&indexPosition=347,4bdrm Duplex in Maitama for rent,35000000.0,per annum,Duplex,4.0,4.0,5.0,Maitama,700.0,Unfurnished,Renovated,,
Jiji,https://jiji.ng/port-harcourt/houses-apartments-for-rent/2bdrm-duplex-in-mercy-land-port-harcourt-for-rent-pmRBeYAzLche6DivnJGOAeh.html?page=7&pos=23&cur_pos=23&ads_per_page=24&ads_count=339&lid=2h616tF1dBw_iu38&indexPosition=166,"2bdrm Duplex in Mercy Land, Port-Harcourt for rent",4000000.0,per annum,Duplex,2.0,3.0,3.0,NTA APARA LINK ROAD,465.0,Unfurnished,Newly-Built,"24-hour Electricity, Balcony, Chandelier, Dining Area, Kitchen Cabinets, Kitchen Shelf, Pop Ceiling, Pre-Paid Meter, Tiled Floor, Wardrobe",
